product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,product_volume_cm3,product_density_g_per_cm3,product_complexity_score,size_category,units_sold,total_revenue,avg_price,avg_product_rating
1e9e8ef04dbcff4541ed26657ea517e5,perfumaria,40.0,287.0,1.0,225.0,16.0,10.0,14.0,perfumery,2240.0,0.1004,3.37,Small,1,10.91,10.91,5.0
41d3672d4792049fa1779bb35283ed13,instrumentos_musicais,60.0,745.0,1.0,200.0,38.0,5.0,11.0,musical_instruments,2090.0,0.0957,7.95,Small,1,45.87,45.87,5.0
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,54.0,630.0,1.0,1100.0,16.0,10.0,16.0,bed_bath_table,2560.0,0.4297,6.8,Medium,4,287.96,71.99,5.0
3bb7f144022e6732727d8d838a7b13b3,esporte_lazer,22.0,3021.0,1.0,800.0,16.0,2.0,11.0,sports_leisure,352.0,2.2727,30.71,Medium,1,26.7,26.7,5.0
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,56.0,296.0,2.0,1700.0,100.0,7.0,15.0,furniture_decor,10500.0,0.1619,3.96,Medium,2,99.4,49.7,4.5
e3e020af31d4d89d2602272b315c3f6e,beleza_saude,58.0,1987.0,3.0,75.0,21.0,7.0,13.0,health_beauty,1911.0,0.0392,21.37,Small,1,29.9,29.9,4.0
8b41fbc2b984a12030090112324d1bc4,bebes,55.0,1627.0,1.0,500.0,20.0,13.0,13.0,baby,3380.0,0.1479,16.77,Medium,1,48.9,48.9,5.0
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,56.0,209.0,1.0,1800.0,40.0,10.0,30.0,furniture_decor,12000.0,0.15,2.59,Medium,9,709.1,78.78888888888889,4.875
a0253d43394dd4da9a5d7b1f546f1a32,informatica_acessorios,59.0,1890.0,2.0,740.0,23.0,13.0,13.0,computers_accessories,3887.0,0.1904,19.9,Medium,1,208.0,208.0,5.0
1eba879220bd0981a0e2fbab499ed4e1,moveis_escritorio,57.0,476.0,1.0,8950.0,52.0,51.0,17.0,office_furniture,45084.0,0.1985,5.26,Extra-Large,8,669.92,83.74,2.25
5370b82a213393979691c98074265584,bebes,52.0,708.0,9.0,7950.0,33.0,30.0,44.0,baby,43560.0,0.1825,11.58,Extra-Large,3,310.11,103.37,3.6666666666666665
750cf819d127191920eda79a4b6fb479,eletronicos,31.0,806.0,1.0,263.0,18.0,12.0,16.0,electronics,3456.0,0.0761,8.56,Small,2,48.0,24.0,4.0
1c6fb703c624b381a20f21f757694866,brinquedos,33.0,471.0,2.0,725.0,22.0,17.0,15.0,toys,5610.0,0.1292,5.71,Medium,2,194.28,97.14,5.0
b864b103180d5a6a3f830e67f93e8735,bebes,47.0,980.0,4.0,600.0,70.0,11.0,11.0,baby,8470.0,0.0708,11.8,Medium,1,83.9,83.9,5.0
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,38.0,1176.0,3.0,15350.0,47.0,40.0,47.0,cool_stuff,88360.0,0.1737,13.26,Extra-Large,63,37733.9,598.9507936507937,4.555555555555555
bbf920aa6ac72007a726e6f419156f8f,moveis_decoracao,42.0,303.0,2.0,1300.0,25.0,16.0,25.0,furniture_decor,10000.0,0.13,4.03,Medium,3,119.7,39.9,3.6666666666666665
92bf5d2084dfbcb57d9db7838bac5cd0,telefonia,51.0,427.0,2.0,100.0,19.0,3.0,11.0,telephony,627.0,0.1595,5.27,Small,1,25.99,25.99,3.0
a3a03c131926ec14d4c9f3ef03016b24,pet_shop,54.0,463.0,1.0,700.0,40.0,20.0,20.0,pet_shop,16000.0,0.0438,5.13,Medium,1,59.0,59.0,3.0
e586ebb6022265ae1eea38f46ffe3ead,beleza_saude,40.0,1469.0,3.0,1050.0,18.0,21.0,27.0,health_beauty,10206.0,0.1029,16.19,Medium,2,129.8,64.9,4.0
0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,perfumery,6048.0,0.0698,2.0,Small,11,3581.9,325.6272727272727,3.727272727272727
75b4372e69a42f8ae1d908c076f547b2,beleza_saude,22.0,1313.0,1.0,938.0,29.0,22.0,23.0,health_beauty,14674.0,0.0639,13.63,Medium,4,982.9,245.725,3.0
b1eae565a61935e0011ee7682fef9dc9,perfumaria,49.0,460.0,2.0,267.0,17.0,13.0,17.0,perfumery,3757.0,0.0711,5.6,Small,1,399.9,399.9,2.0
2734390ee304b0f4817b3c233094fc16,instrumentos_musicais,59.0,2367.0,3.0,16200.0,55.0,40.0,40.0,musical_instruments,88000.0,0.1841,25.17,Extra-Large,1,239.0,239.0,5.0
32ee3f4e2493045726807808d7abbab6,cama_mesa_banho,54.0,381.0,2.0,1400.0,38.0,9.0,27.0,bed_bath_table,9234.0,0.1516,4.81,Medium,1,89.9,89.9,4.0
c478b1bbf9ec8c5691f37ccb83187386,informatica_acessorios,55.0,163.0,2.0,300.0,25.0,8.0,18.0,computers_accessories,3600.0,0.0833,2.63,Small,1,139.9,139.9,2.0
